"","mean","sd","95%_HPDL","95%_HPDU","Rhat","n.eff","median"
"mean.psi21[11, 1]",0.055,0.071,0,0.192,1.01,1170,0.029
"mean.psi21[12, 1]",0.04,0.068,0,0.169,1.01,1577,0.013
"mean.psi21[13, 1]",0.144,0.14,0,0.428,1.01,1450,0.104
"mean.psi21[14, 1]",0.09,0.076,0,0.235,1.01,1266,0.074
"mean.psi21[15, 1]",0.253,0.157,0,0.536,1.02,1385,0.238
"mean.psi21[16, 1]",0.416,0.221,0,0.761,1.03,823,0.433
"mean.psi21[17, 1]",0.467,0.228,0,0.809,1.02,691,0.49
"mean.psi21[18, 1]",0.423,0.201,0,0.755,1.02,859,0.428
"mean.psi21[19, 1]",0.154,0.102,0,0.339,1.02,1350,0.143
"mean.psi21[20, 1]",0.108,0.109,0,0.327,1,1646,0.076
"mean.psi21[21, 1]",0.085,0.087,0,0.245,1.01,1689,0.061
"mean.psi21[22, 1]",0.088,0.094,0,0.264,1.01,1914,0.06
"mean.psi21[1, 2]",0.081,0.099,0,0.271,1.01,1755,0.049
"mean.psi21[2, 2]",0.08,0.101,0,0.28,1.01,1207,0.044
"mean.psi21[3, 2]",0.027,0.058,0,0.13,1.04,1017,0.003
"mean.psi21[4, 2]",0.033,0.07,0,0.159,1.04,1150,0.005
"mean.psi21[5, 2]",0.164,0.141,0,0.435,1.01,1054,0.136
"mean.psi21[6, 2]",0.028,0.051,0,0.116,1.06,1250,0.007
"mean.psi21[7, 2]",0.017,0.046,0,0.092,1.04,1091,0.001
"mean.psi21[8, 2]",0.031,0.073,0,0.169,1.01,1125,0.002
"mean.psi21[9, 2]",0.171,0.14,0,0.437,1.01,850,0.143
"mean.psi21[10, 2]",0.064,0.073,0,0.208,1.01,1557,0.041
"mean.psi21[11, 2]",0.023,0.05,0,0.121,1.02,1278,0.003
"mean.psi21[12, 2]",0.037,0.088,0,0.196,1.03,913,0.003
"mean.psi21[13, 2]",0.131,0.176,0,0.525,1,972,0.045
"mean.psi21[14, 2]",0.054,0.063,0,0.184,1.02,1340,0.033
"mean.psi21[15, 2]",0.147,0.119,0,0.373,1.02,1563,0.128
"mean.psi21[16, 2]",0.317,0.192,0,0.655,1.02,811,0.307
"mean.psi21[17, 2]",0.304,0.182,0,0.614,1.02,753,0.3
"mean.psi21[18, 2]",0.211,0.141,0,0.463,1.02,1234,0.2
"mean.psi21[19, 2]",0.059,0.066,0,0.187,1.01,1237,0.038
"mean.psi21[20, 2]",0.09,0.128,0,0.361,1.01,834,0.031
"mean.psi21[21, 2]",0.035,0.051,0,0.142,1.02,1026,0.013
"mean.psi21[22, 2]",0.095,0.129,0,0.365,1.01,1029,0.039
"mean.psi21[1, 3]",0.147,0.147,0,0.45,1.01,966,0.105
"mean.psi21[2, 3]",0.114,0.138,0,0.408,1.02,952,0.064
"mean.psi21[3, 3]",0.059,0.106,0,0.28,1.04,718,0.012
"mean.psi21[4, 3]",0.055,0.105,0,0.282,1.04,727,0.009
"mean.psi21[5, 3]",0.212,0.168,0,0.532,1.01,801,0.184
"mean.psi21[6, 3]",0.111,0.132,0,0.382,1.02,903,0.064
"mean.psi21[7, 3]",0.043,0.091,0,0.228,1.03,811,0.004
"mean.psi21[8, 3]",0.033,0.09,0,0.204,1.04,983,0
"mean.psi21[9, 3]",0.202,0.165,0,0.519,1.01,1075,0.168
"mean.psi21[10, 3]",0.125,0.14,0,0.414,1.01,820,0.078
"mean.psi21[11, 3]",0.055,0.101,0,0.269,1.03,1000,0.009
"mean.psi21[12, 3]",0.039,0.093,0,0.221,1.05,851,0.002
"mean.psi21[13, 3]",0.21,0.258,0,0.761,1.01,1110,0.079
"mean.psi21[14, 3]",0.116,0.141,0,0.407,1.02,977,0.064
"mean.psi21[15, 3]",0.202,0.166,0,0.526,1,1059,0.169
"mean.psi21[16, 3]",0.379,0.208,0,0.729,1.01,958,0.378
"mean.psi21[17, 3]",0.415,0.202,0,0.74,1.01,862,0.421
"mean.psi21[18, 3]",0.274,0.179,0,0.596,1,1120,0.258
"mean.psi21[19, 3]",0.142,0.135,0,0.419,1.01,902,0.108
"mean.psi21[20, 3]",0.111,0.143,0,0.419,1.02,909,0.052
"mean.psi21[21, 3]",0.085,0.125,0,0.359,1.03,765,0.03
"mean.psi21[22, 3]",0.123,0.154,0,0.453,1.02,1113,0.061
"mean.psi21.t[1]",0.12,0.089,0,0.29,1.01,911,0.104
"mean.psi21.t[2]",0.112,0.076,0,0.257,1,1080,0.096
"mean.psi21.t[3]",0.053,0.057,0,0.167,1.02,719,0.033
"mean.psi21.t[4]",0.056,0.062,0,0.183,1.02,778,0.036
"mean.psi21.t[5]",0.223,0.112,0.017,0.433,1.01,836,0.216
"mean.psi21.t[6]",0.091,0.062,0,0.206,1,995,0.082
"mean.psi21.t[7]",0.043,0.052,0,0.149,1.01,665,0.024
"mean.psi21.t[8]",0.035,0.058,0,0.152,1.01,837,0.011
"mean.psi21.t[9]",0.202,0.107,0.012,0.404,1.01,982,0.19
"mean.psi21.t[10]",0.136,0.082,0,0.287,1,968,0.126
"mean.psi21.t[11]",0.044,0.053,0,0.155,1.01,750,0.024
"mean.psi21.t[12]",0.039,0.057,0,0.159,1.02,741,0.015
"mean.psi21.t[13]",0.162,0.166,0,0.507,1,1023,0.101
