species,date,site,load,temp,rain,individual
L. wilcoxii,28/12/20,Tuntable Creek,0,22.1,586,Other179
L. pearsoniana,28/12/20,Tuntable Creek,61305,22.1,586,Other180
L. pearsoniana,28/12/20,Tuntable Creek,0,22.1,586,Other181
L. pearsoniana,28/12/20,Tuntable Creek,262,22.1,586,Other182
L. pearsoniana,28/12/20,Tuntable Creek,0,22.1,586,Other183
L. pearsoniana,28/12/20,Tuntable Creek,0,22.1,586,Other184
M. fasciolatus,28/12/20,Tuntable Creek,0,22.1,586,Other185
M. fasciolatus,28/12/20,Tuntable Creek,0,22.1,586,Other186
M. fasciolatus,28/12/20,Tuntable Creek,0,22.1,586,Other187
L. pearsoniana,1/2/21,Tuntable Creek,0,22.1,310,Other188
L. pearsoniana,1/2/21,Tuntable Creek,14775,22.1,310,Other189
L. pearsoniana,1/2/21,Tuntable Creek,0,22.1,310,Other190
M. iteratus,20/11/17,Bat Cave Creek,1092,20.6,342,79F98E7
M. iteratus,9/1/17,Bat Cave Creek,0,24.2,274,7DE2F06
M. iteratus,9/1/17,Bat Cave Creek,0,24.2,274,7DE49A9
M. iteratus,9/1/17,Bat Cave Creek,0,24.2,274,79F98E7
M. iteratus,12/2/19,Bat Cave Creek,0,25.4,21,7DE4BEB
M. iteratus,12/2/19,Bat Cave Creek,0,25.4,21,7DE49A9
M. iteratus,13/9/19,Bat Cave Creek,3264,15.7,10,7DE48E5
M. iteratus,13/9/19,Bat Cave Creek,0,15.7,10,7DE48C8
M. iteratus,13/9/19,Bat Cave Creek,250237,15.7,10,7DE4B1A
M. iteratus,13/9/19,Bat Cave Creek,96873,15.7,10,7DE48D5
M. iteratus,24/10/19,Bat Cave Creek,0,18.8,23,7DE1E80
M. iteratus,24/10/19,Bat Cave Creek,0,18.8,23,7DE3102
M. iteratus,24/10/19,Bat Cave Creek,195640,18.8,23,7DE37BF
M. iteratus,24/10/19,Bat Cave Creek,90,18.8,23,7DE30F1
M. iteratus,24/10/19,Bat Cave Creek,487788,18.8,23,7DE58DD
M. iteratus,24/10/19,Bat Cave Creek,265,18.8,23,7DE4980
M. iteratus,24/10/19,Bat Cave Creek,568,18.8,23,7DE4B12
M. iteratus,24/10/19,Bat Cave Creek,0,18.8,23,7DE3D57
M. iteratus,24/10/19,Bat Cave Creek,0,18.8,23,7DE59A9
M. iteratus,24/10/19,Bat Cave Creek,0,18.8,23,7DE35A5
M. iteratus,24/10/19,Bat Cave Creek,0,18.8,23,7DE20DC
M. iteratus,24/10/19,Bat Cave Creek,905,18.8,23,7DE1EA5
M. iteratus,24/10/19,Bat Cave Creek,331,18.8,23,7DE586C
M. iteratus,24/10/19,Bat Cave Creek,0,18.8,23,7DE1EBB
M. iteratus,24/10/19,Bat Cave Creek,0,18.8,23,7DE5BD7
M. iteratus,24/10/19,Bat Cave Creek,0,18.8,23,7DE1E6D
M. iteratus,24/10/19,Bat Cave Creek,249,18.8,23,7DE40AF
M. iteratus,24/10/19,Bat Cave Creek,178,18.8,23,7DE3F8B
M. iteratus,24/10/19,Bat Cave Creek,1455,18.8,23,7DE4C93
M. iteratus,24/10/19,Bat Cave Creek,0,18.8,23,7DE49FD
